time,x,y,yaw,v,a,phi
3.749999999999994671e+00,-2.720716193347662681e+00,-9.194405455113385806e-01,-1.038361827025567230e+00,1.107392180481530986e+00,9.680259016851266995e-03,5.204268040740513968e-01
3.799999999999994493e+00,-2.692608788896411198e+00,-9.671455496355693127e-01,-1.003101925325166732e+00,1.107876193432373535e+00,3.924406852432668798e-03,4.677799589391627433e-01
3.849999999999994316e+00,-2.662824117380391709e+00,-1.013850447586622794e+00,-9.720090007094125406e-01,1.108072413774995102e+00,6.253088620419323951e-03,4.420993118178280779e-01
3.899999999999994138e+00,-2.631596354380684843e+00,-1.059614931670429749e+00,-9.428699182851602023e-01,1.108385068206016122e+00,1.119687928371629164e-02,3.990524806511963618e-01
3.949999999999993960e+00,-2.599039317882341216e+00,-1.104462819279554253e+00,-9.169043494421925677e-01,1.108944912170201968e+00,1.655301558817523500e-02,3.512702451653681446e-01
3.999999999999993783e+00,-2.565311858756564423e+00,-1.148472540324904090e+00,-8.943269294576299266e-01,1.109772562949610686e+00,7.629282314989968387e-03,3.180536616925380144e-01
4.049999999999993605e+00,-2.530573546556504905e+00,-1.191741900375412833e+00,-8.740285288597218205e-01,1.110154027065360260e+00,1.261145101075421271e-02,2.845457173349368318e-01
4.099999999999993427e+00,-2.494951912065706878e+00,-1.234311890576581527e+00,-8.559896118568321999e-01,1.110784599615898038e+00,4.236273755081971376e-03,2.598137153468335070e-01
4.149999999999993250e+00,-2.458547532113551259e+00,-1.276256224963465469e+00,-8.395856631226543687e-01,1.110996413303652064e+00,9.399326069036404580e-03,2.354442494095679850e-01
4.199999999999993072e+00,-2.421452956061860728e+00,-1.317605650636373138e+00,-8.247789529121104524e-01,1.111466379607103816e+00,1.814888907469681175e-03,2.163340933067713912e-01
4.249999999999992895e+00,-2.383734270866008753e+00,-1.358418572237117816e+00,-8.112083600015023155e-01,1.111557124052477308e+00,6.011191030541735737e-03,2.016180767236749327e-01
4.299999999999992717e+00,-2.345462095792781643e+00,-1.398719176640076611e+00,-7.985863104959646241e-01,1.111857683604004388e+00,-3.464778449442687232e-04,1.856507295707982563e-01
4.349999999999992539e+00,-2.306673821326804763e+00,-1.438544275954769969e+00,-7.869850983547175272e-01,1.111840359711757209e+00,2.697684587679662419e-03,1.795292935919716726e-01
4.399999999999992362e+00,-2.267426759509366452e+00,-1.477916100936704780e+00,-7.757750743071389898e-01,1.111975243941141223e+00,7.670575685713534354e-03,1.721257482355437185e-01
4.449999999999992184e+00,-2.227735999241520659e+00,-1.516850223595438418e+00,-7.650354932323862878e-01,1.112358772725426936e+00,6.200802953687256387e-04,1.624815595402038237e-01
4.499999999999992006e+00,-2.187615566687473478e+00,-1.555369127912983540e+00,-7.549052002580154408e-01,1.112389776740195346e+00,5.710685647190820100e-03,1.574757170969071640e-01
4.549999999999991829e+00,-2.147105862572528334e+00,-1.593480693231268175e+00,-7.450920383934018787e-01,1.112675311022554903e+00,-5.627236375908441614e-04,1.484332950840950849e-01
4.599999999999991651e+00,-2.106213626240789338e+00,-1.631202581799936713e+00,-7.358486054030356494e-01,1.112647174840675435e+00,3.553338164348617684e-03,1.493690349595139244e-01
4.649999999999991473e+00,-2.064975504863781897e+00,-1.668543935343930862e+00,-7.265462629381620463e-01,1.112824841748892846e+00,-1.473716352151012692e-03,1.399085814489862689e-01
4.699999999999991296e+00,-2.023385170603766881e+00,-1.705505968799543970e+00,-7.178397277330403892e-01,1.112751155931285263e+00,1.525124519494545569e-03,1.474429386724180058e-01
4.749999999999991118e+00,-1.981477380618368977e+00,-1.742102074823352220e+00,-7.086582477315012119e-01,1.112827412157259888e+00,-2.377656417384980438e-03,1.364914491465040181e-01
4.799999999999990941e+00,-1.939232460507451572e+00,-1.778314349647557524e+00,-7.001670393963144168e-01,1.112708529336390528e+00,-6.325687568050066488e-05,1.485395108307292489e-01
4.849999999999990763e+00,-1.896686126745106282e+00,-1.814162782828492970e+00,-6.909166175722177838e-01,1.112705366492606540e+00,-3.246232617629654389e-03,1.362349476360214529e-01
4.899999999999990585e+00,-1.853810126796043845e+00,-1.849616015543178005e+00,-6.824424951648814242e-01,1.112543054861725000e+00,-7.520051507651387976e-04,1.503828883379454417e-01
4.949999999999990408e+00,-1.810641532850499225e+00,-1.884699524761432432e+00,-6.730769300337211547e-01,1.112505454604186816e+00,4.271474310487576552e-03,1.603862297195882136e-01
4.999999999999990230e+00,-1.767147730040522724e+00,-1.919376030978712455e+00,-6.630782394298576632e-01,1.112719028319711256e+00,-1.766476568142973103e-03,1.544676250322456479e-01
5.049999999999990052e+00,-1.723300971568567208e+00,-1.953622503227163021e+00,-6.534527246765550190e-01,1.112630704491304190e+00,3.120601650761608420e-03,1.633998051748705160e-01
5.099999999999989875e+00,-1.679130115869733819e+00,-1.987442663165798429e+00,-6.432616618344811910e-01,1.112786734573842251e+00,-2.957286761176631217e-03,1.575853657919016604e-01
5.149999999999989697e+00,-1.634610654160904009e+00,-2.020815606110117901e+00,-6.334380484436474834e-01,1.112638870235783450e+00,9.967663527136426393e-04,1.722325444941714134e-01
5.199999999999989519e+00,-1.589771461870165936e+00,-2.053745227632587600e+00,-6.226852569285415973e-01,1.112688708553419170e+00,-4.162941760431547455e-03,1.639762782779009831e-01
5.249999999999989342e+00,-1.544578759011821179e+00,-2.086192261606635956e+00,-6.124570553956102392e-01,1.112480561465397644e+00,-8.898786365770710921e-04,1.828110427212288336e-01
5.299999999999989164e+00,-1.499065066751711583e+00,-2.118169383364979730e+00,-6.010309438453272923e-01,1.112436067533568718e+00,-4.866659762188492618e-03,1.700711821849908434e-01
5.349999999999988987e+00,-1.453190814117959251e+00,-2.149623126483542368e+00,-5.904176793933649803e-01,1.112192734545459194e+00,-1.955121921586995722e-03,1.915770802680883400e-01
5.399999999999988809e+00,-1.406995431438678335e+00,-2.180581458416223306e+00,-5.784334475988197610e-01,1.112094978449379878e+00,-5.260677961866740832e-03,1.754998947876626747e-01
5.449999999999988631e+00,-1.360436455764312269e+00,-2.210981292081633409e+00,-5.674778178451842514e-01,1.111831944551286533e+00,-2.223544748690069184e-03,1.966011515479357818e-01
