time,x,y,yaw,v,a,phi
2.749999999999998224e+00,3.089114106438209384e-01,2.290979357478759304e-01,-2.882893946531568941e-01,1.975169465425370197e+00,2.209133829293591367e-02,3.898884420222385738e-02
2.799999999999998046e+00,4.035942821748051967e-01,2.010196544343947345e-01,-2.840089157741017001e-01,1.976274032340016973e+00,2.024546734514907909e-02,3.992776304508313667e-02
2.849999999999997868e+00,4.984494903057058446e-01,1.733314418214940145e-01,-2.796227957440146628e-01,1.977286305707274483e+00,1.866881398100607090e-02,4.079541379014629821e-02
2.899999999999997691e+00,5.934738772719199140e-01,1.460455715121379561e-01,-2.751389628701669254e-01,1.978219746406324697e+00,1.727205831063065300e-02,4.157600234116019811e-02
2.949999999999997513e+00,6.886645704718125094e-01,1.191733676426432464e-01,-2.705670800354620376e-01,1.979083349321856256e+00,1.593356801847347140e-02,4.187296532554028727e-02
2.999999999999997335e+00,7.840187341995135117e-01,9.272510269580179487e-02,-2.659604936051259694e-01,1.979880027722779934e+00,1.469004603412782731e-02,4.170763473486044370e-02
3.049999999999997158e+00,8.795321553574645401e-01,6.670590422346658888e-02,-2.613702698565043558e-01,1.980614530024486397e+00,1.352244460916775595e-02,4.101984014781025201e-02
3.099999999999996980e+00,9.751994816119684550e-01,4.111591636347317058e-02,-2.568541537358048910e-01,1.981290652254944717e+00,1.244470886174118239e-02,3.970741546734093963e-02
3.149999999999996803e+00,1.071014096315745290e+00,1.594964467001716568e-02,-2.524811924039545019e-01,1.981912887698031867e+00,1.147115882316378406e-02,3.771845395864861783e-02
3.199999999999996625e+00,1.166967971073358479e+00,-8.805166075758246585e-03,-2.483261834649607980e-01,1.982486445639189965e+00,1.055467398833338614e-02,3.492431010702252980e-02
3.249999999999996447e+00,1.263051671925060182e+00,-3.316812358297555052e-02,-2.444781204223343274e-01,1.983014179338606686e+00,9.713399396297780347e-03,3.132186914460048655e-02
3.299999999999996270e+00,1.359254013403328853e+00,-5.716755238333502687e-02,-2.410263409572175886e-01,1.983499849308421492e+00,4.176652341970246707e-02,2.065865572299831199e-02
3.349999999999996092e+00,1.455562203885757411e+00,-8.084056605959932806e-02,-2.387495481339963199e-01,1.985588175479406692e+00,6.160343160184240420e-03,2.183230827436063309e-02
3.399999999999995914e+00,1.552025497731504888e+00,-1.043189379566891867e-01,-2.363408335756569945e-01,1.985896192637415902e+00,4.954209670675842336e-03,1.623420305026433696e-02
3.449999999999995737e+00,1.648560037116933774e+00,-1.275684954895225653e-01,-2.345495961004008811e-01,1.986143903120949794e+00,4.483889599340699049e-03,9.641545792603428700e-03
3.499999999999995559e+00,1.745148113489382258e+00,-1.506479779887330839e-01,-2.334857021676230160e-01,1.986368097600916816e+00,4.125705508099200211e-03,2.505106506234757672e-03
3.549999999999995381e+00,1.841771594873346185e+00,-1.736272815717289086e-01,-2.332092536090510093e-01,1.986574382876321820e+00,3.849333074785404353e-03,-5.031015285063793543e-03
3.599999999999995204e+00,1.938411460214429782e+00,-1.965822564923936089e-01,-2.337645075207111234e-01,1.986766849530060997e+00,3.571780257589906964e-03,-1.293843399288032575e-02
3.649999999999995026e+00,2.035047926409488284e+00,-2.195931166960086722e-01,-2.351926789784695715e-01,1.986945438542940590e+00,3.298925364203237308e-03,-2.108743874409458458e-02
3.699999999999994849e+00,2.131660114226583858e+00,-2.427440476613219600e-01,-2.375207790876718017e-01,1.987110384811150654e+00,3.033269787848987334e-03,-2.934463618043228056e-02
3.749999999999994671e+00,2.228226158350493424e+00,-2.661217790700778352e-01,-2.407612109998125138e-01,1.987262048300543205e+00,2.719973032505584691e-03,-3.761723320669210779e-02
3.799999999999994493e+00,2.324723306120620059e+00,-2.898141110314855218e-01,-2.449162432702609027e-01,1.987398046952168373e+00,2.402324085772422537e-03,-4.582316775788641827e-02
3.849999999999994316e+00,2.421127775800341553e+00,-3.139088349009320766e-01,-2.499791693090137323e-01,1.987518163156456907e+00,2.132882471928122890e-03,-5.374299254081304350e-02
3.899999999999994138e+00,2.517414839755567790e+00,-3.384928223129499147e-01,-2.559190654860173941e-01,1.987624807280053307e+00,1.896173664461146607e-03,-6.125441299351026131e-02
3.949999999999993960e+00,2.613559338165750923e+00,-3.636496576016328697e-01,-2.626914706831337543e-01,1.987719615963276398e+00,1.501582974671374429e-03,-6.522602737803195883e-02
3.999999999999993783e+00,2.709535838559719245e+00,-3.894582714997011363e-01,-2.699045391000338134e-01,1.987794695112010013e+00,1.286419464837009830e-03,-7.059656966072402895e-02
4.049999999999993605e+00,2.805327302581704263e+00,-4.159594940245835426e-01,-2.777137104291057534e-01,1.987859016085251840e+00,9.964138427768715403e-04,-7.689748878568752888e-02
4.099999999999993427e+00,2.900911988126869012e+00,-4.432088345452369627e-01,-2.862227872028232922e-01,1.987908836777390720e+00,8.057941253668405831e-04,-8.292367745008169533e-02
4.149999999999993250e+00,2.996263739077293486e+00,-4.712712194943527444e-01,-2.954018758643158771e-01,1.987949126483659068e+00,5.721172922912247773e-04,-8.824475958393747377e-02
4.199999999999993072e+00,3.091355816819167490e+00,-5.002082385953456889e-01,-3.051731464915742320e-01,1.987977732348273685e+00,3.325216506250232686e-04,-9.320346340023058507e-02
4.249999999999992895e+00,3.186161972270373344e+00,-5.300734616707435398e-01,-3.154967465630925116e-01,1.987994358430804853e+00,-1.234184250716016998e-05,-9.728094269284720541e-02
4.299999999999992717e+00,3.280655554832354159e+00,-5.609160746839733092e-01,-3.262748771208398013e-01,1.987993741338679454e+00,-3.496562172009406652e-04,-9.976645381130647139e-02
4.349999999999992539e+00,3.374811200377141773e+00,-5.927753308122755138e-01,-3.373301964959247723e-01,1.987976258527819340e+00,-4.936419792523381389e-04,-1.001497434954765897e-01
4.399999999999992362e+00,3.468608060172551966e+00,-6.256732502555453213e-01,-3.484281761554137713e-01,1.987951576428856670e+00,-7.091878068694419321e-04,-1.000131202105254552e-01
4.449999999999992184e+00,3.562032890880485692e+00,-6.596096567058296056e-01,-3.595107769605683790e-01,1.987916117038513120e+00,-8.938645984702905424e-04,-9.949002926813940717e-02
4.499999999999992006e+00,3.655074228671244985e+00,-6.945787242235592629e-01,-3.705348313629174273e-01,1.987871423808589499e+00,-9.842656216665504956e-04,-9.816353811609859759e-02
4.549999999999991829e+00,3.747722336774827578e+00,-7.305705296633234758e-01,-3.814107036554971186e-01,1.987822210527506073e+00,-1.062760582873284194e-03,-9.782582688717662844e-02
4.599999999999991651e+00,3.839971247105798735e+00,-7.675668996800509847e-01,-3.922486512551838223e-01,1.987769072498362322e+00,-9.666445747652466919e-04,-9.853225498269370386e-02
4.649999999999991473e+00,3.931811327675541534e+00,-8.055598505380151542e-01,-4.031650779621975267e-01,1.987720740269623976e+00,-8.142005519304673167e-04,-1.015810321692685592e-01
4.699999999999991296e+00,4.023228974200348418e+00,-8.445521351224110074e-01,-4.144213058835533037e-01,1.987680030242027440e+00,-7.269636228195381971e-04,-1.086613549018935476e-01
4.749999999999991118e+00,4.114200069387251801e+00,-8.845701260396570120e-01,-4.264678670602107258e-01,1.987643682060886485e+00,-7.089404702733713773e-04,-1.200433342554256266e-01
4.799999999999990941e+00,4.204680841663578583e+00,-9.256803238666069245e-01,-4.397876528175328481e-01,1.987608235037372717e+00,-5.783619743110163074e-04,-1.339396096771972577e-01
4.849999999999990763e+00,4.294604421124919469e+00,-9.679912692215724146e-01,-4.546667058752705826e-01,1.987579316938657081e+00,4.128144720462776501e-02,-1.531437735730844241e-01
4.899999999999990585e+00,4.383887224265179405e+00,-1.011634824487194884e+00,-4.717104569491020749e-01,1.989643389298888509e+00,3.558220514621797392e-02,-1.691225110634908269e-01
4.949999999999990408e+00,4.472505178976690310e+00,-1.056840577928548797e+00,-4.905848345664874932e-01,1.991422499556199321e+00,2.978852969021039340e-02,-1.835506327989727682e-01
4.999999999999990230e+00,4.560332633504481592e+00,-1.103752699608509191e+00,-5.111230519590447274e-01,1.992911926040709769e+00,2.454121342867601058e-02,-1.972430425457571412e-01
5.049999999999990052e+00,4.647243095017367764e+00,-1.152495048156824353e+00,-5.332489565785675234e-01,1.994138986712143513e+00,1.979319129279247247e-02,-2.114408450780982107e-01
5.099999999999989875e+00,4.733106737864464009e+00,-1.203179469657317480e+00,-5.570289765190050701e-01,1.995128646276783213e+00,-1.459258422315570965e-02,-2.243429834201285111e-01
5.149999999999989697e+00,4.817782944019338487e+00,-1.255917367787626304e+00,-5.823210051618803451e-01,1.994399017065625390e+00,1.473628034801462497e-02,-2.436121490478251606e-01
5.199999999999989519e+00,4.901067893374988493e+00,-1.310759740174382459e+00,-6.098601735592416029e-01,1.995135831083026057e+00,1.088728678260855037e-02,-2.600084357609556696e-01
